"Tenid","CondType","CondNo","Seq","CondText","CategoryId"
"P58/1810","Endorsement","1","6","The Licensee's attention is drawn to the provisions of the Aboriginal Heritage Act 1972 and any Regulations thereunder.",0
"M24/951","Condition","10","10","No interference with Geodetic Survey Station SSM-KALGOORLIE 221 and 222 and mining within 15 metres thereof being confined to below a depth of 15 metres from the natural surface.",0
"E69/2765","Endorsement","2","8","The Licensee's attention is drawn to the Environmental Protection Act 1986 and the Environmental Protection (Clearing of Native Vegetation) Regulations 2004, which provides for the protection of all native vegetation from damage unless prior permission is obtained.",0
"P15/5969","Endorsement","5","14","The storage and disposal of petroleum hydrocarbons, chemicals and potentially hazardous substances being in accordance with the current published version of the DoWs relevant Water Quality Protection Notes and Guidelines for mining and mineral processing.",0
"L45/452","Endorsement","10","25","All activities to be undertaken so as to avoid or minimise damage, disturbance or contamination of waterways, including their beds and banks, and riparian and other water dependent vegetation.",0
"E70/5197","Condition","2","2","All waste materials, rubbish, plastic sample bags, abandoned equipment and temporary buildings being removed from the mining tenement prior to or at the termination of exploration program.",0
"M70/1217","Condition","3","3","All costeans and other disturbances to the surface of the land made as a result of exploration, including drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, Department of Industry and Resources (DoIR). Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, DoIR.",0
"M29/348","Condition","5","5","Unless the written approval of the Environmental Officer, DoIR is first obtained, the use of drilling rigs, scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.",0
"E29/1045","Condition","1","1","All disturbances to the surface of the land made as a result of exploration, including costeans, drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, Department of Mines, Industry Regulation and Safety. Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, Department of Mines, Industry Regulation and Safety.",0
"L39/246","Condition","4","4","The road to be constructed using proper materials to suit the purpose for which it is being constructed, and further that it be constructed in a workman like manner and further that it be constructed to the satisfaction of the Environmental Officer, DMP.",0
"M70/367","Condition","16","16","The lessee taking all reasonable precautions not to unnecessarily destroy or damage any tree or woody shrub on the lease area.",0
"L47/884","Condition","6","6","Ingress and egress of pastoralists and tenement holders to be preserved by the construction of vehicular access crossings over any pipeline constructed pursuant to this licence.",0
"E08/2560","Endorsement","8","18","The abstraction of surface water from any watercourse is prohibited unless a current licence to take surface water has been issued by the DoW.",0
"CML12/844","Condition","28","30","The storage and disposal of hydrocarbons, chemicals and potentially hazardous substances being in accordance with the Water and Rivers Commission's Guidelines and Water Quality Protection Notes.",0
"L04/83","Condition","19","20","The development and operation of the project being carried out in such a manner so as to create the minimum practicable disturbance to the existing vegetation and natural landform.",0
"M70/569","Condition","13","15","No activity being carried out that will alter, interfere or pollute any drain, watercourse, bore or well.",0
"M15/882","Condition","6","6","The lessee submitting a plan of proposed operations and measures to safeguard the environment to the Director, Environment, DoIR for his assessment and written approval prior to commencing any developmental or productive mining or construction activity.",0
"G77/122","Condition","15","20","A Mine Closure Plan is to be submitted in the Annual Environmental Reporting month specified in tenement conditions in the year specified below, unless otherwise directed by the Executive Director Resource and Environmental Compliance Division, Department of Mines, Industry Regulation and Safety. The Mine Closure Plan is to be prepared in accordance with the Department's ""Guidelines for Preparing Mine Closure Plans"":
* 2021",0
"M36/294","Condition","10","13","All topsoil and vegetation being removed ahead of all mining operations and being stockpiled appropriately for later respreading or immediately respread as rehabilitation progresses.",0
"G45/79","Condition","3","3","This lease has been granted on the basis inter alia of an assessment by the lessee that no native title rights are affected. Accordingly the notification provisions contained in Part 2, Division 3 of the Native Title Act 1993 have not been implemented.",0
"P37/8285","Condition","4","4","Unless the written approval of the Environmental Officer, DMP is first obtained, the use of drilling rigs, scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.",0
"G52/33","Endorsement","4","27","The lessee's attention is drawn to the provisions of the Rights in Water and Irrigation Act 1914, as amended.",0
"L77/256","Condition","15","18","Where saline water is used for dust suppression, all reasonable measures being taken to avoid any detrimental effects to surrounding vegetation and topsoil stockpiles.",0
"P58/1690","Endorsement","10","17","The taking of groundwater and the construction or altering of any well is prohibited without current licences for these activities issued by DoW, unless an exemption otherwise applies.",0
"L45/367","Condition","14","14","On the completion of the life of mining operations in relation to this licence the holder shall:
* remove all installations constructed pursuant to this licence;
* cover over all wells and holes in the ground to such degree of safety as shall be determined by the Environmental Officer, Department of Mines and Petroleum; and
* on such areas cleared of natural growth by the holder or any of its agents, the holder shall plant trees and/or shrubs and/or any other plant as shall conform to the general pattern and type of growth in the area and as directed by the Environmental Officer, Department of Mines and Petroleum and properly maintain same until the Environmental Officer advises regrowth is self supporting;
unless the Minister responsible for the Mining Act 1978 orders or consents otherwise.",0
"M51/516","Condition","9","12","No interference with the Telecom Australia Optic Fibre Cable or the installations in connection therewith, and the rights of ingress to and egress from the facility being at all times preserved to the owners thereof.",0
"E70/5047","Condition","4","4","The prior written consent of the Minister responsible for the Mining Act 1978 being obtained before commencing any exploration activities on Reservoir Protection Zone 813 and Water Reserve 30963.",0
"M16/470","Condition","5","5","Unless the written approval of the Environmental Officer, DoIR is first obtained, the use of scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.",0
"G09/14","Condition","2","2","The Lessee or transferee, as the case may be, shall within thirty (30) days of receiving written notification of:-
* the grant of the Lease; or
* registration of a transfer introducing a new Lessee;
advise, by registered post, the holder of any underlying pastoral or grazing lease details of the grant or transfer.",0
"M53/121","Condition","7","9","No developmental or productive mining or construction activity being commenced until the tenement holder has submitted a plan of the proposed operations and measures to safeguard the environment to the Director, Environment, DoIR for assessment; and until his written approval has been obtained.",0
"P15/5719","Endorsement","7","16","The abstraction of groundwater from an artesian well and the construction, enlargement, deepening or altering of any artesian well is prohibited unless a current licence for these activities has been issued by the DoW.",0
"L16/93","Condition","1","1","The Licensee submitting a plan of proposed operations and measures to safeguard the environment to the Executive Director, Environment Division, DMP for assessment and written approval prior to commencing any development or construction.",0
"L38/256","Condition","1","1","The Licensee notifying the holder of any underlying pastoral or grazing lease by telephone or in person, or by registered post if contact cannot be made, prior to undertaking airborne geophysical surveys or any ground disturbing activities utilising equipment such as scrapers, graders, bulldozers, backhoes, drilling rigs; water carting equipment or other mechanised equipment.",0
"M46/432","Condition","6","6","The lessee submitting a plan of proposed operations and measures to safeguard the environment to the Director, Environment, DMP for his assessment and written approval prior to commencing any developmental or productive mining or construction activity.",0
"P08/705","Endorsement","9","18","The taking of surface water from a watercourse or wetland is prohibited unless a current licence has been issued by the Department of Water and Environmental Regulation (DWER).",0
"M77/607","Condition","34","74","Such further conditions as may from time to time be imposed by the Minister responsible for the Mining Act 1978 for the purpose of protecting the rail corridor land.",0
"M37/631","Condition","43","45","On the completion of operations or progressively when possible, all waste dumps, tailings storage facilities, stockpiles or other mining related landforms must be rehabilitated to form safe, stable, non-polluting structures which are integrated with the surrounding landscape and support self sustaining, functional ecosystems comprising suitable, local provenance species or alternative agreed outcome to the satisfaction of the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety.",0
"E69/1530","Endorsement","1","8","Pursuant to the Savings and Transitional Provisions of the Mining Amendment Acts 1990 and 1994 all land surrendered, forfeited (other than forfeiture by plaint action) or expiring from a non-graticular exploration licence will either:
* Automatically be included into a graticular exploration licence, provided the surrender, forfeiture or expiry occurred after the grant of the graticular licence; or
* Automatically be included into an application for a graticular exploation licence provided the surrender, forfeiture or expiry occured after 14 October 1995.",0
"P39/5549","Condition","2","2","All disturbances to the surface of the land made as a result of exploration, including costeans, drill pads, grid lines and access tracks, being backfilled and rehabilitated to the satisfaction of the Environmental Officer, Department of Mines and Petroleum (DMP). Backfilling and rehabilitation being required no later than 6 months after excavation unless otherwise approved in writing by the Environmental Officer, DMP.",0
"P15/5876","Condition","1","1","All surface holes drilled for the purpose of exploration are to be capped, filled or otherwise made safe immediately after completion.",0
"M47/33","Condition","10","14","At the completion of operations, or progressively where possible, all access roads and other disturbed areas not contained within the creekbed being covered with topsoil, deep ripped and revegetated with local native grasses, shrubs and trees to the satisfaction of the State Mining Engineer.",0
"M15/1681","Condition","1","1","Survey.",0
"M37/1129","Endorsement","3","13","The Lessee's attention is drawn to the Environmental Protection Act 1986 and the Environmental Protection (Clearing of Native Vegetation) Regulations 2004, which provides for the protection of all native vegetation from damage unless prior permission is obtained.",0
"L77/241","Endorsement","3","35","The Licensee's attention is drawn to the provisions of:
* the Conservation and Land Management Act 1984 and any Regulations thereunder;
* the Bushfires Act 1954 and any regulations thereunder, and
* the Wildlife Conservation Act 1950 and any Regulations thereunder.",0
"E59/1324","Condition","8","9","The licensee, at his expense, rehabilitating all areas cleared, explored or otherwise disturbed during the term of the licence to the satisfaction of the Director, Environment, DoIR. Such rehabilitation as is appropriate and may include:
* stockpiling and return of topsoil;
* backfilling all holes, trenches and costeans;
* ripping;
* contouring to the original landform;
* revegetation with seed; and
* capping and backfilling of all drill holes.",0
"E28/2741","Endorsement","5","12","The storage and disposal of petroleum hydrocarbons, chemicals and potentially hazardous substances being in accordance with the current published version of the Department of Water and Environmental Regulation (DWER) relevant Water Quality Protection Notes and Guidelines for mining and mineral processing.",0
"G08/48","Condition","","6","Consent to mine on Sea Bed and Navigable Waters granted.",0
"M08/471","Endorsement","15","42","Advice shall be sought from the DoW and the relevant service provider if proposing mining/activities in respect to mining operations being carried out in an existing or designated future irrigation area, or within 50 metres of an irrigation channel, drain or waterway",0
"M15/1684","Condition","7","8","The natural flow of water into Lake Lefroy not being obstructed or interfered with, and the salt crust forming from time to time on the lake not being contaminated or damaged by mine water, spoil, or tailings, being pumped or allowed to gravitate into the lake.",0
"E38/3204","Endorsement","3","10","The Licensee attention is drawn to the provisions of the:
* Waterways Conservation Act, 1976
* Rights in Water and Irrigation Act, 1914
* Metropolitan Water Supply, Sewerage and Drainage Act, 1909
* Country Areas Water Supply Act, 1947
* Water Agencies (Powers) Act 1984",0
"P28/1317","Endorsement","5","11","The rights of ingress to and egress from, and to cross over and through, the mining tenement being at all reasonable times preserved to officers of Department of Water and Environmental Regulation (DWER) for inspection and investigation purposes.",0
"L59/24","Condition","1","2","The term of the licence is five years from and including the date of grant.",0
"E08/3068","Endorsement","3","17","The Licensee's attention is drawn to the provisions of the:
* Waterways Conservation Act, 1976
* Rights in Water and Irrigation Act, 1914
* Metropolitan Water Supply, Sewerage and Drainage Act, 1909
* Country Areas Water Supply Act, 1947
* Water Agencies (Powers) Act 1984",0
"M70/684","Condition","8","12","No mining on Government Requirements Reserve 25495 without the prior written consent of the Minister for Mines.",0
"G26/45","Condition","30","51","A completed audit and review of the active facility shall be provided by an engineering/geotechnical specialist on an annual basis. The document shall be submitted to the State Mining Engineer and shall review the past performance, validate and design, examine the tailings management, and present and review the results of all environmental monitoring. The annual audit should be accompanied by a recent survey pick-up of the facility, and updated tailings storage data sheet.This annual report may also be include the construction report for the embankment wall raises that occurred during this reporting period.",0
"M63/180","Condition","6","7","Unless the written approval of the Environmental Officer, DoIR is first obtained, the use of scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface clearing or the excavation of costeans is prohibited. Following approval, all topsoil being removed ahead of mining operations and separately stockpiled for replacement after backfilling and/or completion of operations.",0
"E47/3143","Condition","7","7","Mining on a strip of land 20 metres wide with any water pipeline as the centreline being confined to below a depth of 31 metres from the natural surface and no mining material being deposited upon such strip and the rights of ingress to and egress from the facility being at all times preserved to the owners thereof.",0
